campaign_id,campaign_name,ads,spend_90d
1845522176114754,Evergreen VSA Broad Web,382,2672260.65
1846513605867697,Promo View Content,47,443952.49
1858660330975473,Outdoor View Content,33,415355.74
1871338571302274,Evergreen VSA Broad Web LF,170,374515.32
1852875772960817,GTM View Content,48,276336.53
1862381187921186,Verified View Content A,31,251853.02
1871339683323985,Evergreen VSA Broad Web FF,170,184709.49
1866286873047217,[18-24] BTS VSA,19,68380.16
1866277007440034,[18-24] TikTok BTS Reach,22,51487.01
1871339665438066,Promo View Content FF,13,43625.03
1866278421888066,[18-24] Wayfair BTS Reach,23,36786.67
1871339408460097,[18-24] BTS VSA LF,10,31859.47
1871339601102305,GTM View Content FF,36,31099.83
1866280308189361,[18-24] TikTok BTS View Content,33,27478.91
1871421220859921,Halloween View Content FF,18,24344.16
1871335838984466,[18-24] BTS Reach FF,9,20944.83
1871339462717650,[18-24] BTS View Content FF,11,18517.0
1871339365848258,Verified View Content A FF,18,17318.86
1871339395580113,[18-24] BTS VSA FF,9,15940.59
1866980942977265,[18-24] TikTok BTS Reach BLS,18,14588.49
1866981551198290,[18-24] Wayfair BTS Reach BLS,17,14588.0
1866279079799857,[18-24] Wayfair BTS View Content,28,13985.41
1871339441383426,[18-24] Wayfair BTS View Content FF,8,4.8
1871335998683202,[18-24] Wayfair BTS Reach FF,5,3.52
